State,Time,Altitude,HDOP,Latitude,Longitude,Speed,RSSI,SNR
init,13:41:22.00,677,2,32.1054,35.2122,1km/h,-92,7.000000
init,13:41:52.00,678,2,32.1055,35.2123,1km/h,-87,7.000000
init,13:42:22.00,680,2,32.1054,35.2122,0km/h,-91,7.000000
init,13:42:52.00,677,2,32.1054,35.2122,0km/h,-88,7.000000
init,13:43:22.00,669,2,32.1054,35.2121,1km/h,-88,11.000000
init,13:43:52.00,670,2,32.1054,35.2122,2km/h,-87,8.000000
init,13:44:22.00,674,2,32.1054,35.2123,1km/h,-86,11.000000
init,13:44:52.00,674,2,32.1054,35.2121,0km/h,-87,7.000000
init,13:45:22.00,673,2,32.1053,35.2119,0km/h,-84,11.000000
init,13:45:52.00,668,2,32.1053,35.2123,2km/h,-83,7.000000
init,13:46:22.00,662,2,32.1054,35.2123,0km/h,-86,11.000000
init,13:46:52.00,659,2,32.1054,35.2122,0km/h,-87,11.000000
init,13:47:22.00,661,2,32.1055,35.2121,0km/h,-89,7.000000
init,13:47:52.00,661,2,32.1054,35.2123,2km/h,-82,13.000000
init,13:48:22.00,663,2,32.1054,35.2120,1km/h,-81,7.000000
init,13:48:52.00,661,2,32.1052,35.2114,2km/h,-78,7.000000
init,13:49:22.00,659,2,32.1053,35.2118,2km/h,-81,7.000000
init,13:49:52.00,658,2,32.1053,35.2116,0km/h,-78,12.000000
init,13:50:22.00,659,3,32.1054,35.2119,3km/h,-81,7.000000
init,13:50:52.00,658,3,32.1053,35.2121,4km/h,-77,7.000000
init,13:51:22.00,658,3,32.1052,35.2124,4km/h,-77,7.000000
init,13:51:52.00,658,2,32.1052,35.2117,5km/h,-78,7.000000
init,13:52:22.00,662,2,32.1054,35.2112,0km/h,-77,7.000000
init,13:52:52.00,659,2,32.1055,35.2120,4km/h,-85,10.000000
init,13:53:22.00,661,2,32.1055,35.2116,2km/h,-77,7.000000
init,13:53:52.00,663,2,32.1055,35.2115,1km/h,-77,7.000000
init,13:54:22.00,663,2,32.1055,35.2112,2km/h,-85,12.000000
init,13:54:52.00,674,0,32.1055,35.2115,0km/h,-90,11.000000
init,13:55:22.00,679,0,32.1055,35.2114,1km/h,-74,7.000000
init,13:55:52.00,677,0,32.1054,35.2114,0km/h,-99,7.000000
init,13:56:22.00,678,0,32.1055,35.2114,3km/h,-62,7.000000
init,13:56:52.00,672,0,32.1055,35.2113,2km/h,-61,11.000000
init,13:57:22.00,671,0,32.1054,35.2119,17km/h,-71,7.000000
init,13:57:52.00,747,0,32.1055,35.2141,32km/h,-68,7.000000
init,13:58:22.00,786,0,32.1057,35.2165,26km/h,-71,11.000000
init,13:58:52.00,834,0,32.1060,35.2184,22km/h,-75,11.000000
init,13:59:22.00,869,0,32.1062,35.2202,18km/h,-72,7.000000
init,13:59:52.00,894,0,32.1063,35.2220,20km/h,-75,7.000000
init,14:00:22.00,937,0,32.1064,35.2237,16km/h,-77,7.000000
init,14:00:52.00,1000,0,32.1064,35.2257,20km/h,-78,7.000000
init,14:01:22.00,1092,0,32.1058,35.2276,27km/h,-79,7.000000
init,14:01:52.00,1155,0,32.1053,35.2298,27km/h,-86,7.000000
init,14:02:22.00,1210,0,32.1051,35.2322,26km/h,-84,11.000000
init,14:02:53.00,1270,0,32.1052,35.2348,26km/h,-84,7.000000
init,14:03:23.00,1324,0,32.1055,35.2374,29km/h,-83,7.000000
init,14:03:52.00,1337,0,32.1061,35.2397,32km/h,-84,7.000000
init,14:04:23.00,1357,0,32.1069,35.2421,27km/h,-85,7.000000
init,14:04:52.00,1372,0,32.1075,35.2442,27km/h,-84,7.000000
init,14:05:22.00,1398,0,32.1081,35.2463,26km/h,-85,7.000000
init,14:05:52.00,1434,0,32.1088,35.2485,29km/h,-84,7.000000
init,14:06:23.00,1474,0,32.1093,35.2509,28km/h,-84,7.000000
init,14:06:53.00,1514,0,32.1099,35.2534,29km/h,-85,7.000000
init,14:07:23.00,1562,0,32.1104,35.2559,31km/h,-84,7.000000
init,14:07:53.00,1593,0,32.1110,35.2584,26km/h,-85,7.000000
init,14:08:23.00,1622,0,32.1115,35.2607,27km/h,-86,13.000000
init,14:08:53.00,1664,0,32.1119,35.2632,28km/h,-89,7.000000
init,14:09:23.00,1695,0,32.1123,35.2658,31km/h,-88,7.000000
init,14:09:53.00,1734,0,32.1126,35.2687,33km/h,-89,7.000000
init,14:10:23.00,1768,0,32.1126,35.2717,33km/h,-89,7.000000
init,14:10:53.00,1810,0,32.1126,35.2746,33km/h,-89,8.000000
init,14:11:23.00,1847,0,32.1127,35.2775,31km/h,-88,7.000000
init,14:11:53.00,1888,0,32.1130,35.2803,34km/h,-89,7.000000
init,14:12:23.00,1936,1,32.1136,35.2831,29km/h,-91,7.000000
init,14:12:53.00,1996,0,32.1142,35.2861,34km/h,-89,7.000000
init,14:13:23.00,2040,1,32.1148,35.2892,32km/h,-91,13.000000
init,14:13:53.00,2088,0,32.1156,35.2916,33km/h,-92,7.000000
init,14:14:23.00,2141,0,32.1165,35.2943,32km/h,-92,13.000000
init,14:14:53.00,2201,0,32.1172,35.2974,32km/h,-92,7.000000
init,14:15:23.00,2256,0,32.1178,35.3001,31km/h,-89,7.000000
